"Afghanistan","2012","Medium","31161.376"
"Afghanistan","2012","High","31161.376"
"Afghanistan","2012","Low","31161.376"
"Afghanistan","2012","Constant fertility","31161.376"
"Afghanistan","2012","Instant replacement","31161.376"
"Afghanistan","2012","Zero migration","31161.376"
"Afghanistan","2012","Constant mortality","31161.376"
"Afghanistan","2012","No change","31161.376"
"Afghanistan","2012","Momentum","31161.376"
"Africa","2012","Medium","1094343.067"
"Africa","2012","High","1094343.067"
"Africa","2012","Low","1094343.067"
"Africa","2012","Constant fertility","1094343.067"
"Africa","2012","Instant replacement","1094343.067"
"Africa","2012","Zero migration","1094343.067"
"Africa","2012","Constant mortality","1094343.067"
"Africa","2012","No change","1094343.067"
"Africa","2012","Momentum","1094343.067"
"Albania","2012","Medium","2914.096"
"Albania","2012","High","2914.096"
"Albania","2012","Low","2914.096"
"Albania","2012","Constant fertility","2914.096"
"Albania","2012","Instant replacement","2914.096"
"Albania","2012","Zero migration","2914.096"
"Albania","2012","Constant mortality","2914.096"
"Albania","2012","No change","2914.096"
"Albania","2012","Momentum","2914.096"
"Algeria","2012","Medium","37383.895"
"Algeria","2012","High","37383.895"
"Algeria","2012","Low","37383.895"
"Algeria","2012","Constant fertility","37383.895"
"Algeria","2012","Instant replacement","37383.895"
"Algeria","2012","Zero migration","37383.895"
"Algeria","2012","Constant mortality","37383.895"
"Algeria","2012","No change","37383.895"
"Algeria","2012","Momentum","37383.895"
"American Samoa","2012","Medium","55.667"
"American Samoa","2012","High","55.667"
"American Samoa","2012","Low","55.667"
"American Samoa","2012","Constant fertility","55.667"
"American Samoa","2012","Instant replacement","55.667"
"American Samoa","2012","Zero migration","55.667"
"American Samoa","2012","Constant mortality","55.667"
"American Samoa","2012","No change","55.667"
"American Samoa","2012","Momentum","55.667"
"Andorra","2012","Medium","82.427"
"Andorra","2012","High","82.427"
"Andorra","2012","Low","82.427"
"Andorra","2012","Constant fertility","82.427"
"Andorra","2012","Instant replacement","82.427"
"Andorra","2012","Zero migration","82.427"
"Andorra","2012","Constant mortality","82.427"
"Andorra","2012","No change","82.427"
"Andorra","2012","Momentum","82.427"
"Angola","2012","Medium","25107.931"
"Angola","2012","High","25107.931"
"Angola","2012","Low","25107.931"
"Angola","2012","Constant fertility","25107.931"
"Angola","2012","Instant replacement","25107.931"
"Angola","2012","Zero migration","25107.931"
"Angola","2012","Constant mortality","25107.931"
"Angola","2012","No change","25107.931"
"Angola","2012","Momentum","25107.931"
"Anguilla","2012","Medium","13.795"
"Anguilla","2012","High","13.795"
"Anguilla","2012","Low","13.795"
"Anguilla","2012","Constant fertility","13.795"
"Anguilla","2012","Instant replacement","13.795"
"Anguilla","2012","Zero migration","13.795"
"Anguilla","2012","Constant mortality","13.795"
"Anguilla","2012","No change","13.795"
"Anguilla","2012","Momentum","13.795"
"Antigua and Barbuda","2012","Medium","90.409"
"Antigua and Barbuda","2012","High","90.409"
"Antigua and Barbuda","2012","Low","90.409"
"Antigua and Barbuda","2012","Constant fertility","90.409"
"Antigua and Barbuda","2012","Instant replacement","90.409"
"Antigua and Barbuda","2012","Zero migration","90.409"
"Antigua and Barbuda","2012","Constant mortality","90.409"
"Antigua and Barbuda","2012","No change","90.409"
"Antigua and Barbuda","2012","Momentum","90.409"
"Argentina","2012","Medium","41755.196"
"Argentina","2012","High","41755.196"
"Argentina","2012","Low","41755.196"
"Argentina","2012","Constant fertility","41755.196"
"Argentina","2012","Instant replacement","41755.196"
"Argentina","2012","Zero migration","41755.196"
"Argentina","2012","Constant mortality","41755.196"
"Argentina","2012","No change","41755.196"
"Argentina","2012","Momentum","41755.196"
"Armenia","2012","Medium","2884.234"
"Armenia","2012","High","2884.234"
"Armenia","2012","Low","2884.234"
"Armenia","2012","Constant fertility","2884.234"
"Armenia","2012","Instant replacement","2884.234"
"Armenia","2012","Zero migration","2884.234"
"Armenia","2012","Constant mortality","2884.234"
"Armenia","2012","No change","2884.234"
"Armenia","2012","Momentum","2884.234"
"Aruba","2012","Medium","102.56"
"Aruba","2012","High","102.56"
"Aruba","2012","Low","102.56"
"Aruba","2012","Constant fertility","102.56"
"Aruba","2012","Instant replacement","102.56"
"Aruba","2012","Zero migration","102.56"
"Aruba","2012","Constant mortality","102.56"
"Aruba","2012","No change","102.56"
"Aruba","2012","Momentum","102.56"
"Asia","2012","Medium","4300462.192"
"Asia","2012","High","4300462.192"
"Asia","2012","Low","4300462.192"
"Asia","2012","Constant fertility","4300462.192"
"Asia","2012","Instant replacement","4300462.192"
"Asia","2012","Zero migration","4300462.192"
"Asia","2012","Constant mortality","4300462.192"
"Asia","2012","No change","4300462.192"
"Asia","2012","Momentum","4300462.192"
"Australia","2012","Medium","22903.948"
"Australia","2012","High","22903.948"
"Australia","2012","Low","22903.948"
"Australia","2012","Constant fertility","22903.948"
"Australia","2012","Instant replacement","22903.948"
"Australia","2012","Zero migration","22903.948"
"Australia","2012","Constant mortality","22903.948"
"Australia","2012","No change","22903.948"
"Australia","2012","Momentum","22903.948"
"Australia/New Zealand","2012","Medium","27372.405"
"Australia/New Zealand","2012","High","27372.405"
"Australia/New Zealand","2012","Low","27372.405"
"Australia/New Zealand","2012","Constant fertility","27372.405"
"Australia/New Zealand","2012","Instant replacement","27372.405"
"Australia/New Zealand","2012","Zero migration","27372.405"
"Australia/New Zealand","2012","Constant mortality","27372.405"
"Australia/New Zealand","2012","No change","27372.405"
"Australia/New Zealand","2012","Momentum","27372.405"
"Austria","2012","Medium","8502.227"
"Austria","2012","High","8502.227"
"Austria","2012","Low","8502.227"
"Austria","2012","Constant fertility","8502.227"
"Austria","2012","Instant replacement","8502.227"
"Austria","2012","Zero migration","8502.227"
"Austria","2012","Constant mortality","8502.227"
"Austria","2012","No change","8502.227"
"Austria","2012","Momentum","8502.227"
"Azerbaijan","2012","Medium","9264.692"
"Azerbaijan","2012","High","9264.692"
"Azerbaijan","2012","Low","9264.692"
"Azerbaijan","2012","Constant fertility","9264.692"
"Azerbaijan","2012","Instant replacement","9264.692"
"Azerbaijan","2012","Zero migration","9264.692"
"Azerbaijan","2012","Constant mortality","9264.692"
"Azerbaijan","2012","No change","9264.692"
"Azerbaijan","2012","Momentum","9264.692"
"Bahamas","2012","Medium","363.584"
"Bahamas","2012","High","363.584"
"Bahamas","2012","Low","363.584"
"Bahamas","2012","Constant fertility","363.584"
"Bahamas","2012","Instant replacement","363.584"
"Bahamas","2012","Zero migration","363.584"
"Bahamas","2012","Constant mortality","363.584"
"Bahamas","2012","No change","363.584"
"Bahamas","2012","Momentum","363.584"
"Bahrain","2012","Medium","1299.944"
"Bahrain","2012","High","1299.944"
"Bahrain","2012","Low","1299.944"
